XXXXXXXX, Nick
4/1/2005 11:26:08 AM
Set #1

  TIME    TORQUE   POSITION    POS (ANAT)    VELOCITY
  mSec    FT-LBS    Degrees      Degrees       DEG/SEC
     0       0.0      111.4           -6         -0.2
    10       6.9      111.4           -6          1.8
    20       6.5      111.5           -6          7.4
    30       6.4      111.6           -6         11.4
    40       6.0      111.7           -6         16.5
    50       5.5      111.9           -6         21.0
    60       5.1      112.2           -5         28.2
    70       5.1      112.5           -5         32.4
    80       4.0      112.8           -5         36.7
    90       3.8      113.1           -4         40.1
   100       3.6      113.5           -4         43.1
   110       3.0      113.9           -4         45.7
   120       3.0      114.4           -3         48.1
   130       3.0      114.8           -3         50.5
   140       2.8      115.3           -2         52.9
   150       2.4      115.8           -2         55.1
   160       1.9      116.3           -1         56.9
   170       1.7      116.8           -1         58.0
   180       0.7      117.4            0         59.1
   190      -0.5      117.9            0         54.0
   200      -1.1      118.4            1         53.5
   210      -1.2      119.0            2         52.1
   220      -1.4      119.5            2         50.8
   230      -1.5      120.0            3         49.2
   240      -0.5      120.5            3         47.9
   250      -1.0      120.9            3         47.1
   260      -1.5      121.4            4         46.0
   270      -2.0      121.8            4         44.4
   280      -2.5      122.3            5         42.3
   290      -3.0      122.7            5         40.1
   300      -3.3      123.1            6         37.8
   310      -3.6      123.4            6         34.6
   320      -3.6      123.7            6         31.6
   330      -3.6      124.0            7         28.2
   340      -4.1      124.3            7         25.2
   350      -4.1      124.5            7         21.5
   360      -4.1      124.7            7         18.1
   370      -4.1      124.9            7         14.3
   380      -4.4      125.0            8         11.1
   390      -4.6      125.1            8          7.7
   400      -4.6      125.1            8          3.4
   410      -5.2      125.1            8         -0.5
   420      -5.7      125.1            8         -2.1
   430      -5.9      125.1            8         -6.3
   440      -6.2      125.0            8        -10.3
   450      -6.2      124.8            7        -15.4
   460      -5.9      124.6            7        -20.2
   470      -5.7      124.4            7        -24.7
   480      -5.7      124.1            7        -29.2
   490      -5.4      123.8            6        -33.5
   500      -5.3      123.4            6        -38.0
   510      -5.2      123.0            6        -42.0
   520      -4.6      122.6            5        -46.3
   530      -5.2      122.1            5        -50.0
   540      -5.2      121.5            4        -53.2
   550      -4.6      121.0            4        -57.2
   560      -4.6      120.4            3        -60.9
   570      -4.6      119.7            2        -64.6
   580      -4.1      119.1            2        -67.8
   590      -3.6      118.4            1        -70.8
   600      -3.6      117.6            0        -73.2
   610      -4.6      116.9           -1        -75.3
   620      -5.6      116.3           -1        -68.6
   630      -5.9      115.7           -2        -64.4
   640      -5.7      115.2           -2        -59.9
   650      -5.7      114.6           -3        -55.6
   660      -5.2      114.2           -3        -47.1
   670      -4.1      113.7           -4        -39.4
   680      -3.3      113.3           -4        -36.7
   690      -1.8      112.9           -5        -33.5
   700      -0.5      112.6           -5        -37.5
   710      -0.5      112.3           -5        -35.1
   720       2.4      112.0           -5        -29.5
   730       4.6      111.7           -6        -24.2
   740       5.1      111.5           -6        -21.0
   750       6.0      111.2           -6        -17.0
   760       7.7      111.1           -6        -12.5
   770       9.0      111.0           -6         -6.9
   780       9.9      111.0           -6         -0.2
   790      10.7      111.0           -6          3.4
   800      11.2      111.1           -6         12.2
   810      14.7      111.3           -6         22.0
   820      17.3      111.6           -6         33.8
   830      17.5      112.0           -5         47.9
   840      18.4      112.5           -5         63.0
   850      17.6      113.2           -4         78.0
   860      17.3      114.0           -3         92.9
   870      16.3      114.9           -3        107.2
   880      15.4      116.0           -1        120.5
   890      14.7      117.2            0        133.1
   900      14.2      118.5            1        132.5
   910      13.9      119.9            2        143.4
   920      14.2      121.4            4        154.4
   930      14.7      123.0            6        165.3
   940      16.0      124.8            7        176.2
   950      17.3      126.6            9        188.4
   960      17.5      128.6           11        200.9
   970      18.4      130.7           13        213.7
   980      22.0      132.9           15        228.1
   990      24.6      135.3           18        238.0
  1000      28.9      137.7           20        239.3
  1010      30.9      140.1           23        239.6
  1020      32.6      142.5           25        239.6
  1030      32.9      144.9           27        239.6
  1040      30.3      147.3           30        239.3
  1050      25.9      149.7           32        239.3
  1060      20.4      152.1           35        238.8
  1070      14.9      154.4           37        238.5
  1080       9.0      156.8           39        238.5
  1090       4.0      159.2           42        237.4
  1100       2.8      161.4           44        211.9
  1110       4.0      163.5           46        172.7
  1120       9.0      165.1           48        149.0
  1130       9.0      166.3           49        102.4
  1140       9.8      167.3           50         79.3
  1150      11.1      168.0           51         74.0
  1160       7.7      168.6           51         51.9
